有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,代號,公司名稱
6585　鼎基,TW0006585003,2016/09/08,興櫃,其他業,ESVUFR,6585,鼎基
6586　醣基,TW0006586001,2017/09/27,興櫃,生技醫療業,ESVUFR,6586,醣基
6588　東典,TW0006588007,2016/08/30,興櫃,通信網路業,ESVUFR,6588,東典
6595　光禹國際,TW0006595002,2019/01/11,興櫃,文化創意業,ESVUFR,6595,光禹國際
6597　立誠,TW0006597008,2018/01/04,興櫃,電子零組件業,ESVUFR,6597,立誠
6598　ABC-KY,KYG0488D1051,2017/02/09,興櫃,生技醫療業,ESVUFR,6598,ABC-KY
6599　普達系統,TW0006599004,2017/12/25,興櫃,電腦及週邊設備業,ESVUFR,6599,普達系統
6606　建德工業,TW0006606007,2020/01/09,興櫃,電機機械,ESVUFR,6606,建德工業
6610　安成生技,TW0006610009,2016/12/27,興櫃,生技醫療業,ESVUFR,6610,安成生技
6611　方舟,TW0006611007,2016/10/27,興櫃,文化創意業,ESVUFR,6611,方舟
6617　共信-KY,KYG409471060,2017/02/08,興櫃,生技醫療業,ESVUFR,6617,共信-KY
6618　永虹先進,TW0006618002,2017/09/15,興櫃,化學工業,ESVUFR,6618,永虹先進
6620　漢達,TW0006620008,2016/12/28,興櫃,生技醫療業,ESVUFR,6620,漢達
6621　華宇藥,TW0006621006,2017/08/18,興櫃,生技醫療業,ESVUFR,6621,華宇藥
6622　百聿數碼,TW0006622004,2017/05/22,興櫃,文化創意業,ESVUFR,6622,百聿數碼
6626　唯數,TW0006626005,2017/04/07,興櫃,文化創意業,ESVUFR,6626,唯數
6633　萊鎂醫,TW0006633001,2017/05/09,興櫃,生技醫療業,ESVUFR,6633,萊鎂醫
6634　欣耀,TW0006634009,2017/06/29,興櫃,生技醫療業,ESVUFR,6634,欣耀
6637　醫影,TW0006637002,2017/06/26,興櫃,生技醫療業,ESVUFR,6637,醫影
6638　沅聖,TW0006638000,2017/06/28,興櫃,電腦及週邊設備業,ESVUFR,6638,沅聖
6639　源大環能,TW0006639008,2018/10/31,興櫃,油電燃氣業,ESVUFR,6639,源大環能
6645　金萬林,TW0006645005,2017/08/18,興櫃,生技醫療業,ESVUFR,6645,金萬林
6648　斯其大,TW0006648009,2017/09/04,興櫃,其他電子業,ESVUFR,6648,斯其大
6650　帝圖,TW0006650005,2017/09/15,興櫃,文化創意業,ESVUFR,6650,帝圖
6651　全宇昕,TW0006651003,2017/09/29,興櫃,半導體業,ESVUFR,6651,全宇昕
6652　雅祥生醫,TW0006652001,2018/08/29,興櫃,生技醫療業,ESVUFR,6652,雅祥生醫
6657　華安,TW0006657000,2018/08/08,興櫃,生技醫療業,ESVUFR,6657,華安
6661　威健生技,TW0006661002,2017/10/23,興櫃,生技醫療業,ESVUFR,6661,威健生技
6665　康聯生醫,TW0006665003,2017/11/23,興櫃,生技醫療業,ESVUFR,6665,康聯生醫
6673　和詮,TW0006673007,2018/03/07,興櫃,光電業,ESVUFR,6673,和詮
6677　瑩碩生技,TW0006677008,2018/06/27,興櫃,生技醫療業,ESVUFR,6677,瑩碩生技
6682　碩鑽材料,TW0006682008,2018/05/11,興櫃,光電業,ESVUFR,6682,碩鑽材料
6684　安格,TW0006684004,2018/05/29,興櫃,半導體業,ESVUFR,6684,安格
6688　海樂影業,TW0006688005,2018/07/26,興櫃,文化創意業,ESVUFR,6688,海樂影業
6689　伊雲谷,TW0006689003,2018/07/17,興櫃,其他電子業,ESVUFR,6689,伊雲谷
6691　洋基工程,TW0006691009,2018/08/08,興櫃,其他電子業,ESVUFR,6691,洋基工程
6692　進能服,TW0006692007,2018/09/21,興櫃,光電業,ESVUFR,6692,進能服
6693　廣閎科,TW0006693005,2018/12/26,興櫃,半導體業,ESVUFR,6693,廣閎科
6695　芯鼎,TW0006695000,2018/12/28,興櫃,半導體業,ESVUFR,6695,芯鼎
6696　仁新,TW0006696008,2018/10/08,興櫃,生技醫療業,ESVUFR,6696,仁新
6699　奇邑,TW0006699002,2019/10/14,興櫃,半導體業,ESVUFR,6699,奇邑
6703　軒郁,TW0006703002,2018/10/17,興櫃,生技醫療業,ESVUFR,6703,軒郁
6705　振躍精密,TW0006705007,2018/10/31,興櫃,電機機械,ESVUFR,6705,振躍精密
6708　天擎,TW0006708001,2020/01/09,興櫃,半導體業,ESVUFR,6708,天擎
6709　昱厚生技,TW0006709009,2018/11/29,興櫃,生技醫療業,ESVUFR,6709,昱厚生技
6712　長聖,TW0006712003,2018/10/26,興櫃,生技醫療業,ESVUFR,6712,長聖
6713　博謙生技,TW0006713001,2018/12/17,興櫃,生技醫療業,ESVUFR,6713,博謙生技
6717　智慧光,TW0006717002,2018/12/05,興櫃,其他電子業,ESVUFR,6717,智慧光
6720　久昌,TW0006720006,2019/05/10,興櫃,半導體業,ESVUFR,6720,久昌
6721　信實保全,TW0006721004,2019/03/27,興櫃,其他業,ESVUFR,6721,信實保全
6723　傑智環境,TW0006723000,2018/12/26,興櫃,其他業,ESVUFR,6723,傑智環境
6724　創王,TW0006724008,2018/12/28,興櫃,光電業,ESVUFR,6724,創王
6727　亞泰金屬,TW0006727001,2019/05/31,興櫃,電子零組件業,ESVUFR,6727,亞泰金屬
6728　上洋,TW0006728009,2019/05/03,興櫃,其他業,ESVUFR,6728,上洋
6729　機光科技,TW0006729007,2019/07/04,興櫃,光電業,ESVUFR,6729,機光科技
6730　常廣,TW0006730005,2019/11/08,興櫃,生技醫療業,ESVUFR,6730,常廣
6731　啟坤,TW0006731003,2019/04/03,興櫃,其他業,ESVUFR,6731,啟坤
6732　昇佳電子,TW0006732001,2019/06/18,興櫃,半導體業,ESVUFR,6732,昇佳電子
6733　博晟生醫,TW0006733009,2019/06/18,興櫃,生技醫療業,ESVUFR,6733,博晟生醫
6734　安盛生,TW0006734007,2019/06/28,興櫃,生技醫療業,ESVUFR,6734,安盛生
6735　美達科技,TW0006735004,2019/10/18,興櫃,其他電子業,ESVUFR,6735,美達科技
6736　碩辣椒,TW0006736002,2019/08/15,興櫃,文化創意業,ESVUFR,6736,碩辣椒
6737　秀育,TW0006737000,2019/12/30,興櫃,電腦及週邊設備業,ESVUFR,6737,秀育
6738　鼎恒,TW0006738008,2019/08/23,興櫃,資訊服務業,ESVUFR,6738,鼎恒
6740　松果購物,TW0006740004,2019/10/16,興櫃,電子商務,ESVUFR,6740,松果購物
6743　安普新,TW0006743008,2019/12/05,興櫃,其他電子業,ESVUFR,6743,安普新
6744　豐技生技,TW0006744006,2019/09/25,興櫃,生技醫療業,ESVUFR,6744,豐技生技
6747　亨泰光,TW0006747009,2019/10/07,興櫃,生技醫療業,ESVUFR,6747,亨泰光
6750　泰創工程,TW0006750003,2019/11/11,興櫃,其他電子業,ESVUFR,6750,泰創工程
6751　智聯服務,TW0006751001,2019/11/20,興櫃,資訊服務業,ESVUFR,6751,智聯服務
6752　叡揚資訊,TW0006752009,2020/01/10,興櫃,資訊服務業,ESVUFR,6752,叡揚資訊
6754　匯僑設計,TW0006754005,2019/10/16,興櫃,其他業,ESVUFR,6754,匯僑設計
6755　連鋐科技,TW0006755002,2019/12/05,興櫃,電子零組件業,ESVUFR,6755,連鋐科技
6756　威鋒電子,TW0006756000,2019/12/20,興櫃,半導體業,ESVUFR,6756,威鋒電子
6757　台灣虎航,TW0006757008,2019/12/16,興櫃,航運業,ESVUFR,6757,台灣虎航
6758　冠亞,TW0006758006,2020/01/02,興櫃,生技醫療業,ESVUFR,6758,冠亞
6761　穩得,TW0006761000,2019/12/31,興櫃,電子零組件業,ESVUFR,6761,穩得
6762　達亞,TW0006762008,2019/12/18,興櫃,生技醫療業,ESVUFR,6762,達亞
6763　綠界科技,TW0006763006,2020/04/09,興櫃,電子商務,ESVUFR,6763,綠界科技
6764　亞洲教育,TW0006764004,2019/11/25,興櫃,其他業,ESVUFR,6764,亞洲教育
6767　台微醫,TW0006767007,2019/12/05,興櫃,生技醫療業,ESVUFR,6767,台微醫
6771　平和環保,TW0006771009,2020/01/07,興櫃,其他業,ESVUFR,6771,平和環保
6776　展碁國際,TW0006776008,2020/03/25,興櫃,電子通路業,ESVUFR,6776,展碁國際
7419　達勝,TW0007419004,2019/09/25,興櫃,電子零組件業,ESVUFR,7419,達勝
7443　凡事康,TW0007443004,2016/02/15,興櫃,其他業,ESVUFR,7443,凡事康
7507　環拓科技,TW0007507B10,2020/03/20,興櫃,其他業,ESVUFR,7507,環拓科技
7516　清淨海,TW0007516B19,2018/12/24,興櫃,其他業,ESVUFR,7516,清淨海
7551　知識科技,TW0007551B15,2019/12/12,興櫃,電子商務,ESVUFR,7551,知識科技
7556　意德士,TW0007556B10,2019/11/15,興櫃,半導體業,ESVUFR,7556,意德士
8045　達運光電,TW0008045006,2017/05/22,興櫃,通信網路業,ESVUFR,8045,達運光電
8089　康全電訊,TW0008089004,2018/08/31,興櫃,通信網路業,ESVUFR,8089,康全電訊
8115　帝聞,TW0008115007,2006/05/30,興櫃,電子零組件業,ESVUFR,8115,帝聞
8119　公信,TW0008119009,2017/07/04,興櫃,電腦及週邊設備業,ESVUFR,8119,公信
8179　旭德,TW0008179003,2007/11/05,興櫃,半導體業,ESVUFR,8179,旭德
8281　歐普羅,TW0008281007,2015/06/02,興櫃,光電業,ESVUFR,8281,歐普羅
8284　三竹,TW0008284001,2012/11/05,興櫃,資訊服務業,ESVUFR,8284,三竹
8298　威睿,TW0008298001,2018/03/28,興櫃,資訊服務業,ESVUFR,8298,威睿
8329　台視,TW0008329004,2007/09/06,興櫃,文化創意業,ESVUFR,8329,台視
8359　錢櫃,TW0008359001,2012/05/03,興櫃,觀光事業,ESVUFR,8359,錢櫃
8438　昶昕,TW0008438003,2012/02/20,興櫃,其他業,ESVUFR,8438,昶昕
8458　影一,TW0008458001,2014/10/27,興櫃,文化創意業,ESVUFR,8458,影一
8465　德河,TW0008465006,2015/05/13,興櫃,農業科技業,ESVUFR,8465,德河
8487　愛爾達,TW0008487000,2015/12/10,興櫃,文化創意業,ESVUFR,8487,愛爾達
8490　利得,TW0008490004,2016/01/14,興櫃,農業科技業,ESVUFR,8490,利得
8491　真好玩,TW0008491002,2016/01/19,興櫃,文化創意業,ESVUFR,8491,真好玩
8492　兔將,TW0008492000,2016/05/19,興櫃,文化創意業,ESVUFR,8492,兔將
8495　經緯航,TW0008495003,2016/08/08,興櫃,其他業,ESVUFR,8495,經緯航
9957　燁聯,TW0009957001,2003/01/03,興櫃,鋼鐵工業,ESVUFR,9957,燁聯
